ProductId,ProductCategory,ProductTitle,ProductReference,ProductPrice,ProductImageUrl
3685,Make-up/Cosmetic mirror,b'One - sided mirror FUNNY LOOK',Art. nr 4536,21.99,http://donegal.com.pl/898-large_default/lusterko-kosmetyczne-jednostronne-funny-look.jpg
3683,Make-up/Cosmetic mirror,b'Double - sided mirror x 10 FABLE LOOK',Art. nr 4534,29.19,http://donegal.com.pl/2002-large_default/lusterko-kosmetyczne-dwustronne-fable-look.jpg
3792,Make-up/Cosmetic mirror,b'Double - sided mirror  x 5',Art. nr 4537,33.69,http://donegal.com.pl/2802-large_default/4537.jpg
3793,Make-up/Cosmetic mirror,b'Double - sided mirror x 10',Art. nr 4538,38.89,http://donegal.com.pl/2803-large_default/4538.jpg
3794,Make-up/Cosmetic mirror,b'Double - sided mirror x 5',Art. nr 4539,50.29,http://donegal.com.pl/2804-large_default/4539.jpg
3795,Make-up/Cosmetic mirror,b'Double - sided mirror x 10',Art. nr 4540,60.29,http://donegal.com.pl/2805-large_default/4540.jpg
1231,Make-up/Cosmetic mirror,b'Double - sided mirror x5',Art. nr 9275,29.19,http://donegal.com.pl/2801-large_default/lusterko-kosmetyczne-see-through-niebieskie-ze-stopka.jpg
1232,Make-up/Cosmetic mirror,b'Double - sided mirror',Art. nr 9276,26.39,http://donegal.com.pl/2615-large_default/lusterko-kosmetyczne-see-through-biale-ze-stopka.jpg
3811,Make-up/Cosmetic mirror,b'Double - sided pocket mirror HOLO',Art. nr 4541,23.39,http://donegal.com.pl/2882-large_default/4541.jpg
3034,Make-up/Cosmetic mirror,b'One - sided pocket mirror',Art. nr 4523,4.59,http://donegal.com.pl/641-large_default/lusterko-kompaktowe-okragle-mar-plata.jpg
3305,Make-up/Cosmetic mirror,b'One - sided pocket mirror NATURE GIFT',Art. nr 4531,5.89,http://donegal.com.pl/959-large_default/lusterko-jednostronne-nature-gift.jpg
1240,Make-up/Cosmetic mirror,b'Double - sided mirror',Art. nr 9509,22.19,http://donegal.com.pl/2616-large_default/lusterko-kosmetyczne-okragle-duze.jpg
1234,Make-up/Cosmetic mirror,b'Double - sided mirror',Art. nr 9502,16.39,http://donegal.com.pl/2617-large_default/lusterko-kosmetyczne-okragle.jpg
1237,Make-up/Cosmetic mirror,b'Double - sided mirror',Art. nr 9505,13.49,http://donegal.com.pl/2618-large_default/lusterko-kosmetyczne-owal.jpg
1235,Make-up/Cosmetic mirror,b'COSMETIC MIRROR',Art. nr 9503,17.69,http://donegal.com.pl/2620-large_default/lusterko-kosmetyczne-owalne.jpg
